Optimized Rust-Powered Profitability Sweep Started: 2025-10-10 15:04:20.491337
Parameters: 100,000 paths per scenario
Method: Integrated path generation (7-8x faster, no memory overhead)
================================================================================

[2025-10-10 15:04:20] Starting OPTIMIZED RUST profitability sweep with 100,000 Monte Carlo paths
[2025-10-10 15:04:20] Total combinations to test: 2,730
[2025-10-10 15:04:20] Using integrated path generation (7-8x faster!) 🚀
[2025-10-10 15:04:25] Progress: 10/2730 (0.4%) | Rate: 1.87 sims/sec | ETA: 24.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:22:53] Progress: 1210/2730 (44.3%) | Rate: 1.09 sims/sec | ETA: 23.3 min | Last: Principal+Interest HV=$5,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:23:03] Progress: 1220/2730 (44.7%) | Rate: 1.09 sims/sec | ETA: 23.2 min | Last: Principal+Interest HV=$5,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.58s)
[2025-10-10 15:23:16] Progress: 1230/2730 (45.1%) | Rate: 1.08 sims/sec | ETA: 23.1 min | Last: Principal+Interest HV=$5,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.67s)
[2025-10-10 15:23:22] Progress: 1240/2730 (45.4%) | Rate: 1.09 sims/sec | ETA: 22.9 min | Last: Principal+Interest HV=$5,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:23:30] Progress: 1250/2730 (45.8%) | Rate: 1.09 sims/sec | ETA: 22.7 min | Last: Principal+Interest HV=$5,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:23:44] Progress: 1260/2730 (46.2%) | Rate: 1.08 sims/sec | ETA: 22.6 min | Last: Principal+Interest HV=$5,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.69s)
[2025-10-10 15:23:49] Progress: 1270/2730 (46.5%) | Rate: 1.09 sims/sec | ETA: 22.4 min | Last: Principal+Interest HV=$5,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:23:58] Progress: 1280/2730 (46.9%) | Rate: 1.09 sims/sec | ETA: 22.2 min | Last: Principal+Interest HV=$5,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:24:11] Progress: 1290/2730 (47.3%) | Rate: 1.08 sims/sec | ETA: 22.2 min | Last: Principal+Interest HV=$5,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:24:17] Progress: 1300/2730 (47.6%) | Rate: 1.09 sims/sec | ETA: 21.9 min | Last: Principal+Interest HV=$5,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:24:26] Progress: 1310/2730 (48.0%) | Rate: 1.09 sims/sec | ETA: 21.8 min | Last: Principal+Interest HV=$5,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:24:39] Progress: 1320/2730 (48.4%) | Rate: 1.08 sims/sec | ETA: 21.7 min | Last: Principal+Interest HV=$5,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.94s)
[2025-10-10 15:24:45] Progress: 1330/2730 (48.7%) | Rate: 1.09 sims/sec | ETA: 21.5 min | Last: Principal+Interest HV=$5,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.54s)
[2025-10-10 15:24:54] Progress: 1340/2730 (49.1%) | Rate: 1.09 sims/sec | ETA: 21.3 min | Last: Principal+Interest HV=$5,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:25:07] Progress: 1350/2730 (49.5%) | Rate: 1.08 sims/sec | ETA: 21.2 min | Last: Principal+Interest HV=$5,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:25:13] Progress: 1360/2730 (49.8%) | Rate: 1.09 sims/sec | ETA: 21.0 min | Last: Principal+Interest HV=$5,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:25:22] Progress: 1370/2730 (50.2%) | Rate: 1.09 sims/sec | ETA: 20.9 min | Last: Principal+Interest HV=$5,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.12s)
[2025-10-10 15:25:35] Progress: 1380/2730 (50.5%) | Rate: 1.08 sims/sec | ETA: 20.8 min | Last: Principal+Interest HV=$5,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:25:40] Progress: 1390/2730 (50.9%) | Rate: 1.09 sims/sec | ETA: 20.6 min | Last: Principal+Interest HV=$5,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:25:49] Progress: 1400/2730 (51.3%) | Rate: 1.09 sims/sec | ETA: 20.4 min | Last: Principal+Interest HV=$5,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:26:02] Progress: 1410/2730 (51.6%) | Rate: 1.08 sims/sec | ETA: 20.3 min | Last: Principal+Interest HV=$5,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.69s)
[2025-10-10 15:26:08] Progress: 1420/2730 (52.0%) | Rate: 1.09 sims/sec | ETA: 20.1 min | Last: Principal+Interest HV=$5,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.58s)
[2025-10-10 15:26:17] Progress: 1430/2730 (52.4%) | Rate: 1.09 sims/sec | ETA: 19.9 min | Last: Principal+Interest HV=$5,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:26:30] Progress: 1440/2730 (52.7%) | Rate: 1.08 sims/sec | ETA: 19.9 min | Last: Principal+Interest HV=$5,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.72s)
[2025-10-10 15:26:36] Progress: 1450/2730 (53.1%) | Rate: 1.09 sims/sec | ETA: 19.6 min | Last: Principal+Interest HV=$5,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:26:44] Progress: 1460/2730 (53.5%) | Rate: 1.09 sims/sec | ETA: 19.5 min | Last: Principal+Interest HV=$5,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:26:58] Progress: 1470/2730 (53.8%) | Rate: 1.08 sims/sec | ETA: 19.4 min | Last: Principal+Interest HV=$5,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.66s)
[2025-10-10 15:27:03] Progress: 1480/2730 (54.2%) | Rate: 1.09 sims/sec | ETA: 19.2 min | Last: Principal+Interest HV=$5,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:27:12] Progress: 1490/2730 (54.6%) | Rate: 1.09 sims/sec | ETA: 19.0 min | Last: Principal+Interest HV=$5,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:27:25] Progress: 1500/2730 (54.9%) | Rate: 1.08 sims/sec | ETA: 18.9 min | Last: Principal+Interest HV=$5,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:27:31] Progress: 1510/2730 (55.3%) | Rate: 1.09 sims/sec | ETA: 18.7 min | Last: Principal+Interest HV=$6,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:27:40] Progress: 1520/2730 (55.7%) | Rate: 1.09 sims/sec | ETA: 18.6 min | Last: Principal+Interest HV=$6,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:27:53] Progress: 1530/2730 (56.0%) | Rate: 1.08 sims/sec | ETA: 18.5 min | Last: Principal+Interest HV=$6,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:27:59] Progress: 1540/2730 (56.4%) | Rate: 1.09 sims/sec | ETA: 18.3 min | Last: Principal+Interest HV=$6,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:28:08] Progress: 1550/2730 (56.8%) | Rate: 1.09 sims/sec | ETA: 18.1 min | Last: Principal+Interest HV=$6,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.12s)
[2025-10-10 15:28:21] Progress: 1560/2730 (57.1%) | Rate: 1.08 sims/sec | ETA: 18.0 min | Last: Principal+Interest HV=$6,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:28:27] Progress: 1570/2730 (57.5%) | Rate: 1.09 sims/sec | ETA: 17.8 min | Last: Principal+Interest HV=$6,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:28:35] Progress: 1580/2730 (57.9%) | Rate: 1.09 sims/sec | ETA: 17.7 min | Last: Principal+Interest HV=$6,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:28:49] Progress: 1590/2730 (58.2%) | Rate: 1.08 sims/sec | ETA: 17.5 min | Last: Principal+Interest HV=$6,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:28:54] Progress: 1600/2730 (58.6%) | Rate: 1.09 sims/sec | ETA: 17.4 min | Last: Principal+Interest HV=$6,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:29:03] Progress: 1610/2730 (59.0%) | Rate: 1.09 sims/sec | ETA: 17.2 min | Last: Principal+Interest HV=$6,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:29:16] Progress: 1620/2730 (59.3%) | Rate: 1.08 sims/sec | ETA: 17.1 min | Last: Principal+Interest HV=$6,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.67s)
[2025-10-10 15:29:22] Progress: 1630/2730 (59.7%) | Rate: 1.09 sims/sec | ETA: 16.9 min | Last: Principal+Interest HV=$6,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:29:31] Progress: 1640/2730 (60.1%) | Rate: 1.09 sims/sec | ETA: 16.7 min | Last: Principal+Interest HV=$6,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:29:44] Progress: 1650/2730 (60.4%) | Rate: 1.08 sims/sec | ETA: 16.6 min | Last: Principal+Interest HV=$6,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:29:49] Progress: 1660/2730 (60.8%) | Rate: 1.09 sims/sec | ETA: 16.4 min | Last: Principal+Interest HV=$6,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:29:58] Progress: 1670/2730 (61.2%) | Rate: 1.09 sims/sec | ETA: 16.3 min | Last: Principal+Interest HV=$6,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:30:12] Progress: 1680/2730 (61.5%) | Rate: 1.08 sims/sec | ETA: 16.2 min | Last: Principal+Interest HV=$6,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:30:17] Progress: 1690/2730 (61.9%) | Rate: 1.09 sims/sec | ETA: 16.0 min | Last: Principal+Interest HV=$6,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:30:26] Progress: 1700/2730 (62.3%) | Rate: 1.09 sims/sec | ETA: 15.8 min | Last: Principal+Interest HV=$6,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:30:39] Progress: 1710/2730 (62.6%) | Rate: 1.08 sims/sec | ETA: 15.7 min | Last: Principal+Interest HV=$6,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:30:45] Progress: 1720/2730 (63.0%) | Rate: 1.09 sims/sec | ETA: 15.5 min | Last: Principal+Interest HV=$6,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:30:53] Progress: 1730/2730 (63.4%) | Rate: 1.09 sims/sec | ETA: 15.4 min | Last: Principal+Interest HV=$6,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:31:07] Progress: 1740/2730 (63.7%) | Rate: 1.08 sims/sec | ETA: 15.2 min | Last: Principal+Interest HV=$6,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:31:12] Progress: 1750/2730 (64.1%) | Rate: 1.09 sims/sec | ETA: 15.0 min | Last: Principal+Interest HV=$6,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:31:21] Progress: 1760/2730 (64.5%) | Rate: 1.09 sims/sec | ETA: 14.9 min | Last: Principal+Interest HV=$6,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:31:34] Progress: 1770/2730 (64.8%) | Rate: 1.08 sims/sec | ETA: 14.8 min | Last: Principal+Interest HV=$6,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:31:40] Progress: 1780/2730 (65.2%) | Rate: 1.09 sims/sec | ETA: 14.6 min | Last: Principal+Interest HV=$6,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:31:48] Progress: 1790/2730 (65.6%) | Rate: 1.09 sims/sec | ETA: 14.4 min | Last: Principal+Interest HV=$6,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:32:02] Progress: 1800/2730 (65.9%) | Rate: 1.08 sims/sec | ETA: 14.3 min | Last: Principal+Interest HV=$6,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:32:07] Progress: 1810/2730 (66.3%) | Rate: 1.09 sims/sec | ETA: 14.1 min | Last: Principal+Interest HV=$7,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:32:16] Progress: 1820/2730 (66.7%) | Rate: 1.09 sims/sec | ETA: 14.0 min | Last: Principal+Interest HV=$7,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.16s)
[2025-10-10 15:32:30] Progress: 1830/2730 (67.0%) | Rate: 1.08 sims/sec | ETA: 13.8 min | Last: Principal+Interest HV=$7,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.69s)
[2025-10-10 15:32:35] Progress: 1840/2730 (67.4%) | Rate: 1.09 sims/sec | ETA: 13.7 min | Last: Principal+Interest HV=$7,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:32:44] Progress: 1850/2730 (67.8%) | Rate: 1.09 sims/sec | ETA: 13.5 min | Last: Principal+Interest HV=$7,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:32:57] Progress: 1860/2730 (68.1%) | Rate: 1.08 sims/sec | ETA: 13.4 min | Last: Principal+Interest HV=$7,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.69s)
[2025-10-10 15:33:03] Progress: 1870/2730 (68.5%) | Rate: 1.09 sims/sec | ETA: 13.2 min | Last: Principal+Interest HV=$7,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 1.26s)
[2025-10-10 15:33:12] Progress: 1880/2730 (68.9%) | Rate: 1.09 sims/sec | ETA: 13.1 min | Last: Principal+Interest HV=$7,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:33:25] Progress: 1890/2730 (69.2%) | Rate: 1.08 sims/sec | ETA: 12.9 min | Last: Principal+Interest HV=$7,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.67s)
[2025-10-10 15:33:31] Progress: 1900/2730 (69.6%) | Rate: 1.09 sims/sec | ETA: 12.7 min | Last: Principal+Interest HV=$7,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:33:40] Progress: 1910/2730 (70.0%) | Rate: 1.09 sims/sec | ETA: 12.6 min | Last: Principal+Interest HV=$7,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:33:53] Progress: 1920/2730 (70.3%) | Rate: 1.08 sims/sec | ETA: 12.5 min | Last: Principal+Interest HV=$7,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.66s)
[2025-10-10 15:33:59] Progress: 1930/2730 (70.7%) | Rate: 1.09 sims/sec | ETA: 12.3 min | Last: Principal+Interest HV=$7,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.60s)
[2025-10-10 15:34:08] Progress: 1940/2730 (71.1%) | Rate: 1.09 sims/sec | ETA: 12.1 min | Last: Principal+Interest HV=$7,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:34:21] Progress: 1950/2730 (71.4%) | Rate: 1.08 sims/sec | ETA: 12.0 min | Last: Principal+Interest HV=$7,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:34:27] Progress: 1960/2730 (71.8%) | Rate: 1.08 sims/sec | ETA: 11.8 min | Last: Principal+Interest HV=$7,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.57s)
[2025-10-10 15:34:35] Progress: 1970/2730 (72.2%) | Rate: 1.09 sims/sec | ETA: 11.7 min | Last: Principal+Interest HV=$7,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:34:48] Progress: 1980/2730 (72.5%) | Rate: 1.08 sims/sec | ETA: 11.5 min | Last: Principal+Interest HV=$7,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:34:54] Progress: 1990/2730 (72.9%) | Rate: 1.08 sims/sec | ETA: 11.4 min | Last: Principal+Interest HV=$7,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.59s)
[2025-10-10 15:35:04] Progress: 2000/2730 (73.3%) | Rate: 1.08 sims/sec | ETA: 11.2 min | Last: Principal+Interest HV=$7,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.12s)
[2025-10-10 15:35:17] Progress: 2010/2730 (73.6%) | Rate: 1.08 sims/sec | ETA: 11.1 min | Last: Principal+Interest HV=$7,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.69s)
[2025-10-10 15:35:22] Progress: 2020/2730 (74.0%) | Rate: 1.08 sims/sec | ETA: 10.9 min | Last: Principal+Interest HV=$7,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.57s)
[2025-10-10 15:35:31] Progress: 2030/2730 (74.4%) | Rate: 1.08 sims/sec | ETA: 10.8 min | Last: Principal+Interest HV=$7,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:35:44] Progress: 2040/2730 (74.7%) | Rate: 1.08 sims/sec | ETA: 10.6 min | Last: Principal+Interest HV=$7,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:35:52] Progress: 2050/2730 (75.1%) | Rate: 1.08 sims/sec | ETA: 10.5 min | Last: Principal+Interest HV=$7,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.66s)
[2025-10-10 15:36:01] Progress: 2060/2730 (75.5%) | Rate: 1.08 sims/sec | ETA: 10.3 min | Last: Principal+Interest HV=$7,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:36:14] Progress: 2070/2730 (75.8%) | Rate: 1.08 sims/sec | ETA: 10.2 min | Last: Principal+Interest HV=$7,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:36:20] Progress: 2080/2730 (76.2%) | Rate: 1.08 sims/sec | ETA: 10.0 min | Last: Principal+Interest HV=$7,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:36:29] Progress: 2090/2730 (76.6%) | Rate: 1.08 sims/sec | ETA: 9.8 min | Last: Principal+Interest HV=$7,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:36:42] Progress: 2100/2730 (76.9%) | Rate: 1.08 sims/sec | ETA: 9.7 min | Last: Principal+Interest HV=$7,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:36:48] Progress: 2110/2730 (77.3%) | Rate: 1.08 sims/sec | ETA: 9.5 min | Last: Principal+Interest HV=$8,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:36:57] Progress: 2120/2730 (77.7%) | Rate: 1.08 sims/sec | ETA: 9.4 min | Last: Principal+Interest HV=$8,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.14s)
[2025-10-10 15:37:10] Progress: 2130/2730 (78.0%) | Rate: 1.08 sims/sec | ETA: 9.2 min | Last: Principal+Interest HV=$8,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.66s)
[2025-10-10 15:37:16] Progress: 2140/2730 (78.4%) | Rate: 1.08 sims/sec | ETA: 9.1 min | Last: Principal+Interest HV=$8,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.60s)
[2025-10-10 15:37:25] Progress: 2150/2730 (78.8%) | Rate: 1.08 sims/sec | ETA: 8.9 min | Last: Principal+Interest HV=$8,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:37:38] Progress: 2160/2730 (79.1%) | Rate: 1.08 sims/sec | ETA: 8.8 min | Last: Principal+Interest HV=$8,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:37:43] Progress: 2170/2730 (79.5%) | Rate: 1.08 sims/sec | ETA: 8.6 min | Last: Principal+Interest HV=$8,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:37:52] Progress: 2180/2730 (79.9%) | Rate: 1.08 sims/sec | ETA: 8.5 min | Last: Principal+Interest HV=$8,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:38:06] Progress: 2190/2730 (80.2%) | Rate: 1.08 sims/sec | ETA: 8.3 min | Last: Principal+Interest HV=$8,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:38:11] Progress: 2200/2730 (80.6%) | Rate: 1.08 sims/sec | ETA: 8.2 min | Last: Principal+Interest HV=$8,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:38:20] Progress: 2210/2730 (81.0%) | Rate: 1.08 sims/sec | ETA: 8.0 min | Last: Principal+Interest HV=$8,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:38:34] Progress: 2220/2730 (81.3%) | Rate: 1.08 sims/sec | ETA: 7.9 min | Last: Principal+Interest HV=$8,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:38:40] Progress: 2230/2730 (81.7%) | Rate: 1.08 sims/sec | ETA: 7.7 min | Last: Principal+Interest HV=$8,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:38:49] Progress: 2240/2730 (82.1%) | Rate: 1.08 sims/sec | ETA: 7.5 min | Last: Principal+Interest HV=$8,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:39:02] Progress: 2250/2730 (82.4%) | Rate: 1.08 sims/sec | ETA: 7.4 min | Last: Principal+Interest HV=$8,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.67s)
[2025-10-10 15:39:07] Progress: 2260/2730 (82.8%) | Rate: 1.08 sims/sec | ETA: 7.2 min | Last: Principal+Interest HV=$8,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.54s)
[2025-10-10 15:39:16] Progress: 2270/2730 (83.2%) | Rate: 1.08 sims/sec | ETA: 7.1 min | Last: Principal+Interest HV=$8,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.13s)
[2025-10-10 15:39:30] Progress: 2280/2730 (83.5%) | Rate: 1.08 sims/sec | ETA: 6.9 min | Last: Principal+Interest HV=$8,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:39:35] Progress: 2290/2730 (83.9%) | Rate: 1.08 sims/sec | ETA: 6.8 min | Last: Principal+Interest HV=$8,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:39:44] Progress: 2300/2730 (84.2%) | Rate: 1.08 sims/sec | ETA: 6.6 min | Last: Principal+Interest HV=$8,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:39:57] Progress: 2310/2730 (84.6%) | Rate: 1.08 sims/sec | ETA: 6.5 min | Last: Principal+Interest HV=$8,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.67s)
[2025-10-10 15:40:03] Progress: 2320/2730 (85.0%) | Rate: 1.08 sims/sec | ETA: 6.3 min | Last: Principal+Interest HV=$8,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:40:12] Progress: 2330/2730 (85.3%) | Rate: 1.08 sims/sec | ETA: 6.2 min | Last: Principal+Interest HV=$8,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:40:25] Progress: 2340/2730 (85.7%) | Rate: 1.08 sims/sec | ETA: 6.0 min | Last: Principal+Interest HV=$8,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:40:30] Progress: 2350/2730 (86.1%) | Rate: 1.08 sims/sec | ETA: 5.8 min | Last: Principal+Interest HV=$8,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:40:39] Progress: 2360/2730 (86.4%) | Rate: 1.08 sims/sec | ETA: 5.7 min | Last: Principal+Interest HV=$8,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:40:52] Progress: 2370/2730 (86.8%) | Rate: 1.08 sims/sec | ETA: 5.5 min | Last: Principal+Interest HV=$8,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:40:58] Progress: 2380/2730 (87.2%) | Rate: 1.08 sims/sec | ETA: 5.4 min | Last: Principal+Interest HV=$8,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:41:06] Progress: 2390/2730 (87.5%) | Rate: 1.08 sims/sec | ETA: 5.2 min | Last: Principal+Interest HV=$8,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.08s)
[2025-10-10 15:41:19] Progress: 2400/2730 (87.9%) | Rate: 1.08 sims/sec | ETA: 5.1 min | Last: Principal+Interest HV=$8,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:41:25] Progress: 2410/2730 (88.3%) | Rate: 1.08 sims/sec | ETA: 4.9 min | Last: Principal+Interest HV=$9,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
